	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over	Temp

	#	s	V vs. Ref.	A	V	V	V	#	bits	deg C

	0	0,0125	9,98335E-002	-3,89543E-005	0,00000E+000	1,00006E-001	0,00000E+000	8	...........	-32768,00

	1	0,025	1,00827E-001	-3,77172E-005	0,00000E+000	1,00994E-001	0,00000E+000	8	...........	-32768,00

	2	0,0375	1,01844E-001	-3,68798E-005	0,00000E+000	1,01994E-001	0,00000E+000	8	...........	-32768,00

	3	0,05	1,02826E-001	-3,61669E-005	0,00000E+000	1,02994E-001	0,00000E+000	8	...........	-32768,00

	4	0,0625	1,03839E-001	-3,55563E-005	0,00000E+000	1,03994E-001	0,00000E+000	8	...........	-32768,00

	5	0,075	1,04836E-001	-3,51002E-005	0,00000E+000	1,04994E-001	0,00000E+000	8	...........	-32768,00

	6	0,0875	1,05839E-001	-3,45390E-005	0,00000E+000	1,05994E-001	0,00000E+000	8	...........	-32768,00

	7	0,1	1,06854E-001	-3,40369E-005	0,00000E+000	1,06994E-001	0,00000E+000	8	...........	-32768,00

	8	0,1125	1,07835E-001	-3,35600E-005	0,00000E+000	1,07994E-001	0,00000E+000	8	...........	-32768,00

	9	0,125	1,08832E-001	-3,31736E-005	0,00000E+000	1,08994E-001	0,00000E+000	8	...........	-32768,00

	10	0,1375	1,09827E-001	-3,27545E-005	0,00000E+000	1,09994E-001	0,00000E+000	8	...........	-32768,00

	11	0,15	1,10829E-001	-3,23096E-005	0,00000E+000	1,10995E-001	0,00000E+000	8	...........	-32768,00

	12	0,1625	1,11846E-001	-3,18635E-005	0,00000E+000	1,11995E-001	0,00000E+000	8	...........	-32768,00

	13	0,175	1,12832E-001	-3,15281E-005	0,00000E+000	1,12995E-001	0,00000E+000	8	...........	-32768,00

	14	0,1875	1,13830E-001	-3,11370E-005	0,00000E+000	1,13995E-001	0,00000E+000	8	...........	-32768,00

	15	0,2	1,14820E-001	-3,07366E-005	0,00000E+000	1,14995E-001	0,00000E+000	8	...........	-32768,00

	16	0,2125	1,15850E-001	-3,03445E-005	0,00000E+000	1,15995E-001	0,00000E+000	8	...........	-32768,00

	17	0,225	1,16865E-001	-3,00052E-005	0,00000E+000	1,16995E-001	0,00000E+000	8	...........	-32768,00

	18	0,2375	1,17864E-001	-2,96494E-005	0,00000E+000	1,17995E-001	0,00000E+000	8	...........	-32768,00

	19	0,25	1,18838E-001	-2,92825E-005	0,00000E+000	1,18995E-001	0,00000E+000	8	...........	-32768,00

	20	0,2625	1,19848E-001	-2,88841E-005	0,00000E+000	1,19995E-001	0,00000E+000	8	...........	-32768,00

	21	0,275	1,20847E-001	-2,85821E-005	0,00000E+000	1,20995E-001	0,00000E+000	8	...........	-32768,00

	22	0,2875	1,21843E-001	-2,82405E-005	0,00000E+000	1,21995E-001	0,00000E+000	8	...........	-32768,00

	23	0,3	1,22854E-001	-2,78751E-005	0,00000E+000	1,22996E-001	0,00000E+000	8	...........	-32768,00

	24	0,3125	1,23833E-001	-2,75923E-005	0,00000E+000	1,23996E-001	0,00000E+000	8	...........	-32768,00

	25	0,325	1,24835E-001	-2,73244E-005	0,00000E+000	1,24996E-001	0,00000E+000	8	...........	-32768,00

	26	0,3375	1,25836E-001	-2,70446E-005	0,00000E+000	1,25996E-001	0,00000E+000	8	...........	-32768,00

	27	0,35	1,26840E-001	-2,66760E-005	0,00000E+000	1,26996E-001	0,00000E+000	8	...........	-32768,00

	28	0,3625	1,27853E-001	-2,63806E-005	0,00000E+000	1,27996E-001	0,00000E+000	8	...........	-32768,00

	29	0,375	1,28873E-001	-2,61208E-005	0,00000E+000	1,28996E-001	0,00000E+000	8	...........	-32768,00

	30	0,3875	1,29861E-001	-2,58553E-005	0,00000E+000	1,29996E-001	0,00000E+000	8	...........	-32768,00

	31	0,4	1,30855E-001	-2,55155E-005	0,00000E+000	1,30996E-001	0,00000E+000	8	...........	-32768,00

	32	0,4125	1,31846E-001	-2,51829E-005	0,00000E+000	1,31996E-001	0,00000E+000	8	...........	-32768,00

	33	0,425	1,32845E-001	-2,48993E-005	0,00000E+000	1,32996E-001	0,00000E+000	8	...........	-32768,00

	34	0,4375	1,33838E-001	-2,46352E-005	0,00000E+000	1,33996E-001	0,00000E+000	8	...........	-32768,00

	35	0,45	1,34847E-001	-2,43126E-005	0,00000E+000	1,34997E-001	0,00000E+000	8	...........	-32768,00

	36	0,4625	1,35849E-001	-2,40119E-005	0,00000E+000	1,35997E-001	0,00000E+000	8	...........	-32768,00

	37	0,475	1,36850E-001	-2,38107E-005	0,00000E+000	1,36997E-001	0,00000E+000	8	...........	-32768,00

	38	0,4875	1,37847E-001	-2,35620E-005	0,00000E+000	1,37997E-001	0,00000E+000	8	...........	-32768,00

	39	0,5	1,38848E-001	-2,32590E-005	0,00000E+000	1,38997E-001	0,00000E+000	8	...........	-32768,00

	40	0,5125	1,39839E-001	-2,29852E-005	0,00000E+000	1,39997E-001	0,00000E+000	8	...........	-32768,00

	41	0,525	1,40832E-001	-2,27546E-005	0,00000E+000	1,40997E-001	0,00000E+000	8	...........	-32768,00

	42	0,5375	1,41849E-001	-2,24786E-005	0,00000E+000	1,41997E-001	0,00000E+000	8	...........	-32768,00

	43	0,55	1,42837E-001	-2,22259E-005	0,00000E+000	1,42997E-001	0,00000E+000	8	...........	-32768,00

	44	0,5625	1,43846E-001	-2,20010E-005	0,00000E+000	1,43997E-001	0,00000E+000	8	...........	-32768,00

	45	0,575	1,44839E-001	-2,18053E-005	0,00000E+000	1,44997E-001	0,00000E+000	8	...........	-32768,00

	46	0,5875	1,45846E-001	-2,15689E-005	0,00000E+000	1,45997E-001	0,00000E+000	8	...........	-32768,00

	47	0,6	1,46848E-001	-2,12711E-005	0,00000E+000	1,46997E-001	0,00000E+000	8	...........	-32768,00

	48	0,6125	1,47854E-001	-2,10086E-005	0,00000E+000	1,47998E-001	0,00000E+000	8	...........	-32768,00

	49	0,625	1,48850E-001	-2,08631E-005	0,00000E+000	1,48998E-001	0,00000E+000	8	...........	-32768,00

	50	0,6375	1,49838E-001	-2,06305E-005	0,00000E+000	1,49998E-001	0,00000E+000	8	...........	-32768,00

	51	0,65	1,50827E-001	-2,04042E-005	0,00000E+000	1,50998E-001	0,00000E+000	8	...........	-32768,00

	52	0,6625	1,51833E-001	-2,01568E-005	0,00000E+000	1,51998E-001	0,00000E+000	8	...........	-32768,00

	53	0,675	1,52830E-001	-1,99257E-005	0,00000E+000	1,52998E-001	0,00000E+000	8	...........	-32768,00

	54	0,6875	1,53834E-001	-1,96329E-005	0,00000E+000	1,53998E-001	0,00000E+000	8	...........	-32768,00

	55	0,7	1,54844E-001	-1,94045E-005	0,00000E+000	1,54998E-001	0,00000E+000	8	...........	-32768,00

	56	0,7125	1,55849E-001	-1,91375E-005	0,00000E+000	1,55998E-001	0,00000E+000	8	...........	-32768,00

	57	0,725	1,56852E-001	-1,89659E-005	0,00000E+000	1,56998E-001	0,00000E+000	8	...........	-32768,00

	58	0,7375	1,57841E-001	-1,87612E-005	0,00000E+000	1,57998E-001	0,00000E+000	8	...........	-32768,00

	59	0,75	1,58842E-001	-1,85713E-005	0,00000E+000	1,58998E-001	0,00000E+000	8	...........	-32768,00

	60	0,7625	1,59846E-001	-1,83211E-005	0,00000E+000	1,59999E-001	0,00000E+000	8	...........	-32768,00

	61	0,775	1,60847E-001	-1,81340E-005	0,00000E+000	1,60999E-001	0,00000E+000	8	...........	-32768,00

	62	0,7875	1,61846E-001	-1,79628E-005	0,00000E+000	1,61999E-001	0,00000E+000	8	...........	-32768,00

	63	0,8	1,62846E-001	-1,77433E-005	0,00000E+000	1,62999E-001	0,00000E+000	8	...........	-32768,00

	64	0,8125	1,63849E-001	-1,75047E-005	0,00000E+000	1,63999E-001	0,00000E+000	8	...........	-32768,00

	65	0,825	1,64845E-001	-1,73607E-005	0,00000E+000	1,64999E-001	0,00000E+000	8	...........	-32768,00

	66	0,8375	1,65842E-001	-1,71053E-005	0,00000E+000	1,65999E-001	0,00000E+000	8	...........	-32768,00

	67	0,85	1,66841E-001	-1,69456E-005	0,00000E+000	1,66999E-001	0,00000E+000	8	...........	-32768,00

	68	0,8625	1,67865E-001	-1,67441E-005	0,00000E+000	1,67999E-001	0,00000E+000	8	...........	-32768,00

	69	0,875	1,68871E-001	-1,64638E-005	0,00000E+000	1,68999E-001	0,00000E+000	8	...........	-32768,00

	70	0,8875	1,69859E-001	-1,62872E-005	0,00000E+000	1,69999E-001	0,00000E+000	8	...........	-32768,00

	71	0,9	1,70854E-001	-1,60883E-005	0,00000E+000	1,70999E-001	0,00000E+000	8	...........	-32768,00

	72	0,9125	1,71853E-001	-1,58986E-005	0,00000E+000	1,71999E-001	0,00000E+000	8	...........	-32768,00

	73	0,925	1,72835E-001	-1,56814E-005	0,00000E+000	1,73000E-001	0,00000E+000	8	...........	-32768,00

	74	0,9375	1,73859E-001	-1,54814E-005	0,00000E+000	1,74000E-001	0,00000E+000	8	...........	-32768,00

	75	0,95	1,74846E-001	-1,53159E-005	0,00000E+000	1,75000E-001	0,00000E+000	8	...........	-32768,00

	76	0,9625	1,75847E-001	-1,50772E-005	0,00000E+000	1,76000E-001	0,00000E+000	8	...........	-32768,00

	77	0,975	1,76866E-001	-1,49508E-005	0,00000E+000	1,77000E-001	0,00000E+000	8	...........	-32768,00

	78	0,9875	1,77847E-001	-1,47419E-005	0,00000E+000	1,78000E-001	0,00000E+000	8	...........	-32768,00

	79	1	1,78840E-001	-1,45972E-005	0,00000E+000	1,79000E-001	0,00000E+000	8	...........	-32768,00

	80	1,0125	1,79867E-001	-1,43868E-005	0,00000E+000	1,80000E-001	0,00000E+000	8	...........	-32768,00

	81	1,025	1,80869E-001	-1,42462E-005	0,00000E+000	1,81000E-001	0,00000E+000	8	...........	-32768,00

	82	1,0375	1,81878E-001	-1,40678E-005	0,00000E+000	1,82000E-001	0,00000E+000	8	...........	-32768,00

	83	1,05	1,82859E-001	-1,38725E-005	0,00000E+000	1,83000E-001	0,00000E+000	8	...........	-32768,00

	84	1,0625	1,83872E-001	-1,36676E-005	0,00000E+000	1,84000E-001	0,00000E+000	8	...........	-32768,00

	85	1,075	1,84862E-001	-1,35361E-005	0,00000E+000	1,85001E-001	0,00000E+000	8	...........	-32768,00

	86	1,0875	1,85854E-001	-1,33835E-005	0,00000E+000	1,86001E-001	0,00000E+000	8	...........	-32768,00

	87	1,1	1,86860E-001	-1,31678E-005	0,00000E+000	1,87001E-001	0,00000E+000	8	...........	-32768,00

	88	1,1125	1,87845E-001	-1,29225E-005	0,00000E+000	1,88001E-001	0,00000E+000	8	...........	-32768,00

	89	1,125	1,88852E-001	-1,27409E-005	0,00000E+000	1,89001E-001	0,00000E+000	8	...........	-32768,00

	90	1,1375	1,89855E-001	-1,25776E-005	0,00000E+000	1,90001E-001	0,00000E+000	8	...........	-32768,00

	91	1,15	1,90858E-001	-1,24702E-005	0,00000E+000	1,91001E-001	0,00000E+000	8	...........	-32768,00

	92	1,1625	1,91841E-001	-1,23007E-005	0,00000E+000	1,92001E-001	0,00000E+000	8	...........	-32768,00

	93	1,175	1,92872E-001	-1,21324E-005	0,00000E+000	1,93001E-001	0,00000E+000	8	...........	-32768,00

	94	1,1875	1,93871E-001	-1,19356E-005	0,00000E+000	1,94001E-001	0,00000E+000	8	...........	-32768,00

	95	1,2	1,94864E-001	-1,17878E-005	0,00000E+000	1,95001E-001	0,00000E+000	8	...........	-32768,00

	96	1,2125	1,95876E-001	-1,15835E-005	0,00000E+000	1,96001E-001	0,00000E+000	8	...........	-32768,00

	97	1,225	1,96849E-001	-1,14226E-005	0,00000E+000	1,97001E-001	0,00000E+000	8	...........	-32768,00

	98	1,2375	1,97849E-001	-1,12374E-005	0,00000E+000	1,98002E-001	0,00000E+000	8	...........	-32768,00

	99	1,25	1,98857E-001	-1,11180E-005	0,00000E+000	1,99002E-001	0,00000E+000	8	...........	-32768,00

	100	1,2625	1,99858E-001	-1,09587E-005	0,00000E+000	2,00002E-001	0,00000E+000	8	...........	-32768,00

	101	1,275	2,00856E-001	-1,07900E-005	0,00000E+000	2,01002E-001	0,00000E+000	8	...........	-32768,00

	102	1,2875	2,01845E-001	-1,06234E-005	0,00000E+000	2,02002E-001	0,00000E+000	8	...........	-32768,00

	103	1,3	2,02849E-001	-1,04773E-005	0,00000E+000	2,03002E-001	0,00000E+000	8	...........	-32768,00

	104	1,3125	2,03849E-001	-1,02816E-005	0,00000E+000	2,04002E-001	0,00000E+000	8	...........	-32768,00

	105	1,325	2,04841E-001	-1,01251E-005	0,00000E+000	2,05002E-001	0,00000E+000	8	...........	-32768,00

	106	1,3375	2,05854E-001	-9,98756E-006	0,00000E+000	2,06002E-001	0,00000E+000	8	...........	-32768,00

	107	1,35	2,06850E-001	-9,84229E-006	0,00000E+000	2,07002E-001	0,00000E+000	8	...........	-32768,00

	108	1,3625	2,07849E-001	-9,64378E-006	0,00000E+000	2,08002E-001	0,00000E+000	8	...........	-32768,00

	109	1,375	2,08870E-001	-9,51182E-006	0,00000E+000	2,09002E-001	0,00000E+000	8	...........	-32768,00

	110	1,3875	2,09857E-001	-9,33220E-006	0,00000E+000	2,10003E-001	0,00000E+000	8	...........	-32768,00

	111	1,4	2,10861E-001	-9,17378E-006	0,00000E+000	2,11003E-001	0,00000E+000	8	...........	-32768,00

	112	1,4125	2,11853E-001	-9,01496E-006	0,00000E+000	2,12003E-001	0,00000E+000	8	...........	-32768,00

	113	1,425	2,12849E-001	-8,86318E-006	0,00000E+000	2,13003E-001	0,00000E+000	8	...........	-32768,00

	114	1,4375	2,13851E-001	-8,70811E-006	0,00000E+000	2,14003E-001	0,00000E+000	8	...........	-32768,00

	115	1,45	2,14826E-001	-8,55151E-006	0,00000E+000	2,15003E-001	0,00000E+000	8	...........	-32768,00

	116	1,4625	2,15853E-001	-8,37913E-006	0,00000E+000	2,16003E-001	0,00000E+000	8	...........	-32768,00

	117	1,475	2,16849E-001	-8,25976E-006	0,00000E+000	2,17003E-001	0,00000E+000	8	...........	-32768,00

	118	1,4875	2,17844E-001	-8,06673E-006	0,00000E+000	2,18003E-001	0,00000E+000	8	...........	-32768,00

	119	1,5	2,18871E-001	-7,92898E-006	0,00000E+000	2,19003E-001	0,00000E+000	8	...........	-32768,00

	120	1,5125	2,19856E-001	-7,74152E-006	0,00000E+000	2,20003E-001	0,00000E+000	8	...........	-32768,00

	121	1,525	2,20857E-001	-7,61056E-006	0,00000E+000	2,21003E-001	0,00000E+000	8	...........	-32768,00

	122	1,5375	2,21866E-001	-7,45978E-006	0,00000E+000	2,22003E-001	0,00000E+000	8	...........	-32768,00

	123	1,55	2,22862E-001	-7,29776E-006	0,00000E+000	2,23004E-001	0,00000E+000	8	...........	-32768,00

	124	1,5625	2,23858E-001	-7,09308E-006	0,00000E+000	2,24004E-001	0,00000E+000	8	...........	-32768,00

	125	1,575	2,24850E-001	-6,99947E-006	0,00000E+000	2,25004E-001	0,00000E+000	8	...........	-32768,00

	126	1,5875	2,25854E-001	-6,85317E-006	0,00000E+000	2,26004E-001	0,00000E+000	8	...........	-32768,00

	127	1,6	2,26848E-001	-6,70685E-006	0,00000E+000	2,27004E-001	0,00000E+000	8	...........	-32768,00

	128	1,6125	2,27847E-001	-6,48295E-006	0,00000E+000	2,28004E-001	0,00000E+000	8	...........	-32768,00

	129	1,625	2,28836E-001	-6,37146E-006	0,00000E+000	2,29004E-001	0,00000E+000	8	...........	-32768,00

	130	1,6375	2,29841E-001	-6,22656E-006	0,00000E+000	2,30004E-001	0,00000E+000	8	...........	-32768,00

	131	1,65	2,30863E-001	-6,05249E-006	0,00000E+000	2,31004E-001	0,00000E+000	8	...........	-32768,00

	132	1,6625	2,31874E-001	-5,93367E-006	0,00000E+000	2,32004E-001	0,00000E+000	8	...........	-32768,00

	133	1,675	2,32862E-001	-5,79901E-006	0,00000E+000	2,33004E-001	0,00000E+000	8	...........	-32768,00

	134	1,6875	2,33862E-001	-5,67216E-006	0,00000E+000	2,34004E-001	0,00000E+000	8	...........	-32768,00

	135	1,7	2,34883E-001	-5,54902E-006	0,00000E+000	2,35005E-001	0,00000E+000	8	...........	-32768,00

	136	1,7125	2,35876E-001	-5,36775E-006	0,00000E+000	2,36005E-001	0,00000E+000	8	...........	-32768,00

	137	1,725	2,36859E-001	-5,18882E-006	0,00000E+000	2,37005E-001	0,00000E+000	8	...........	-32768,00

